model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_12_lin_reg_2,0.404,0.828,0.303,0.053,0.444,0.804,0.328,0.06,0.03999999999999998,0.025000000000000022,0.02399999999999991,,,
model_12_lin_reg_1,0.467,0.771,0.335,0.06,0.509,0.743,0.365,0.067,0.04199999999999998,0.02999999999999997,0.028000000000000025,,,
model_12_knn_1_5,0.284,0.915,0.203,0.037,0.385,0.853,0.261,0.05,0.10100000000000003,0.057999999999999996,0.062000000000000055,,,
model_12_knn_1_10,0.349,0.872,0.253,0.047,0.433,0.814,0.318,0.06,0.08400000000000002,0.065,0.05800000000000005,,,
model_12_knn_1_15,0.386,0.843,0.283,0.052,0.464,0.786,0.35,0.066,0.07800000000000001,0.067,0.05699999999999994,,,
model_12_knn_1_20,0.409,0.824,0.301,0.055,0.482,0.769,0.359,0.067,0.07300000000000001,0.057999999999999996,0.05499999999999994,,,
model_12_knn_1_25,0.43,0.805,0.316,0.058,0.498,0.754,0.368,0.069,0.068,0.05199999999999999,0.051000000000000045,,,
model_12_dectree_dep_3_max_leaf_10,0.501,0.735,0.379,0.068,0.523,0.728,0.404,0.073,0.02200000000000002,0.025000000000000022,0.007000000000000006,,,
model_12_dectree_dep_3_max_leaf_15,0.501,0.735,0.379,0.068,0.523,0.728,0.404,0.073,0.02200000000000002,0.025000000000000022,0.007000000000000006,,,
model_12_dectree_dep_3_max_leaf_20,0.501,0.735,0.379,0.068,0.523,0.728,0.404,0.073,0.02200000000000002,0.025000000000000022,0.007000000000000006,,,
model_12_dectree_dep_4_max_leaf_10,0.455,0.782,0.347,0.062,0.489,0.763,0.382,0.069,0.033999999999999975,0.03500000000000003,0.019000000000000017,,,
model_12_dectree_dep_4_max_leaf_15,0.43,0.805,0.326,0.057,0.481,0.77,0.366,0.065,0.05099999999999999,0.03999999999999998,0.03500000000000003,,,
model_12_dectree_dep_4_max_leaf_20,0.43,0.805,0.325,0.057,0.498,0.753,0.376,0.069,0.068,0.05099999999999999,0.052000000000000046,,,
model_12_forest_tree_depth3_max_leaf_10,0.454,0.783,0.348,0.063,0.507,0.745,0.39,0.072,0.05299999999999999,0.04200000000000004,0.038000000000000034,14.0,3.0,100.0
model_12_forest_tree_depth3_max_leaf_15,0.454,0.783,0.348,0.063,0.507,0.745,0.39,0.072,0.05299999999999999,0.04200000000000004,0.038000000000000034,14.0,3.0,100.0
model_12_forest_tree_depth3_max_leaf_20,0.454,0.783,0.348,0.063,0.507,0.745,0.39,0.072,0.05299999999999999,0.04200000000000004,0.038000000000000034,14.0,3.0,100.0
model_12_forest_tree_depth4_max_leaf_10,0.416,0.818,0.319,0.057,0.476,0.775,0.366,0.067,0.06,0.046999999999999986,0.04299999999999993,19.0,4.0,100.0
model_12_forest_tree_depth5_max_leaf_10,0.409,0.824,0.315,0.056,0.472,0.779,0.363,0.066,0.063,0.04799999999999999,0.04499999999999993,19.0,4.0,100.0
model_12_forest_tree_depth6_max_leaf_10,0.407,0.825,0.314,0.056,0.472,0.778,0.363,0.066,0.065,0.04899999999999999,0.04699999999999993,19.0,4.0,100.0
model_12_ada_boost,0.37,0.858,0.307,0.053,0.457,0.804,0.365,0.064,0.08700000000000002,0.057999999999999996,0.05399999999999994,,,
model_12_gbr_boost,0.154,0.975,,,0.35,0.878,,,0.19599999999999998,,0.09699999999999998,,,
