model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_15_lin_reg_2,0.361,0.862,0.277,0.049,0.468,0.777,0.341,0.061,0.10700000000000004,0.064,0.08499999999999996,,,
model_15_lin_reg_1,0.462,0.774,0.333,0.06,0.52,0.725,0.377,0.069,0.057999999999999996,0.043999999999999984,0.049000000000000044,,,
model_15_knn_1_5,0.277,0.919,0.192,0.036,0.368,0.862,0.244,0.046,0.09099999999999997,0.05199999999999999,0.05700000000000005,,,
model_15_knn_2_5,0.281,0.917,0.198,0.037,0.403,0.835,0.267,0.051,0.122,0.069,0.08200000000000007,,,
model_15_knn_3_5,0.288,0.912,0.205,0.038,0.409,0.83,0.275,0.052,0.121,0.07000000000000003,0.08200000000000007,,,
model_15_knn_1_10,0.355,0.866,0.252,0.047,0.412,0.828,0.295,0.056,0.056999999999999995,0.04299999999999998,0.038000000000000034,,,
model_15_knn_2_10,0.358,0.864,0.255,0.047,0.425,0.817,0.303,0.057,0.067,0.04799999999999999,0.04700000000000004,,,
model_15_knn_3_10,0.36,0.862,0.26,0.048,0.438,0.806,0.313,0.059,0.07800000000000001,0.05299999999999999,0.05599999999999994,,,
model_15_dectree_dep_4_max_leaf_20,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_dectree_dep_4_max_leaf_25,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_dectree_dep_4_max_leaf_30,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_dectree_dep_4_max_leaf_35,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_dectree_dep_4_max_leaf_40,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_dectree_dep_4_max_leaf_45,0.419,0.814,0.315,0.056,0.432,0.811,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0029999999999998916,,,
model_15_forest_tree_depth4_max_leaf_10,0.411,0.821,0.315,0.057,0.48,0.767,0.369,0.068,0.069,0.05399999999999999,0.05399999999999994,19.0,4.0,100.0
model_15_forest_tree_depth4_max_leaf_20,0.387,0.841,0.293,0.053,0.457,0.788,0.349,0.064,0.07,0.055999999999999994,0.052999999999999936,29.0,4.0,100.0
model_15_forest_tree_depth4_max_leaf_15,0.388,0.841,0.294,0.053,0.457,0.788,0.35,0.064,0.069,0.055999999999999994,0.052999999999999936,28.0,4.0,100.0
model_15_forest_tree_depth5_max_leaf_10,0.404,0.827,0.31,0.056,0.478,0.768,0.368,0.067,0.07399999999999995,0.057999999999999996,0.05899999999999994,19.0,4.0,100.0
model_15_forest_tree_depth5_max_leaf_15,0.364,0.86,0.279,0.05,0.445,0.799,0.338,0.062,0.08100000000000002,0.059,0.06099999999999994,29.0,5.0,100.0
model_15_forest_tree_depth5_max_leaf_20,0.342,0.876,0.261,0.047,0.426,0.816,0.321,0.059,0.08399999999999996,0.06,0.06000000000000005,39.0,5.0,100.0
model_15_ada_boost,0.356,0.868,0.298,0.052,0.444,0.815,0.349,0.061,0.08800000000000002,0.05099999999999999,0.05300000000000005,,,
model_15_gbr_boost,0.129,0.982,,,0.346,0.878,,,0.21699999999999997,,0.10399999999999998,,,
