model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_04_lin_reg_2,0.526,0.786,0.406,0.081,0.55,0.768,0.426,0.086,0.02400000000000002,0.019999999999999962,0.018000000000000016,,,
model_04_lin_reg_3,0.505,0.803,0.387,0.077,0.552,0.767,0.429,0.087,0.04700000000000004,0.04199999999999998,0.03600000000000003,,,
model_04_lin_reg_1,0.566,0.752,0.438,0.088,0.588,0.735,0.452,0.092,0.02200000000000002,0.014000000000000012,0.017000000000000015,,,
model_04_knn_1_30,0.49,0.814,0.376,0.077,0.539,0.778,0.415,0.085,0.049000000000000044,0.03899999999999998,0.03599999999999992,,,
model_04_knn_2_30,0.494,0.811,0.379,0.077,0.542,0.776,0.417,0.085,0.04800000000000004,0.03799999999999998,0.03500000000000003,,,
model_04_knn_1_35,0.498,0.808,0.383,0.078,0.545,0.773,0.418,0.086,0.04700000000000004,0.034999999999999976,0.03500000000000003,,,
model_04_knn_2_35,0.501,0.805,0.385,0.078,0.546,0.772,0.421,0.086,0.04500000000000004,0.035999999999999976,0.03300000000000003,,,
model_04_knn_1_40,0.505,0.802,0.388,0.079,0.549,0.77,0.422,0.087,0.04400000000000004,0.033999999999999975,0.03200000000000003,,,
model_04_knn_3_30,0.499,0.807,0.382,0.078,0.548,0.771,0.422,0.087,0.049000000000000044,0.03999999999999998,0.03600000000000003,,,
model_04_dectree_dep_5_max_leaf_10,0.542,0.772,0.424,0.084,0.593,0.731,0.458,0.092,0.050999999999999934,0.03400000000000003,0.041000000000000036,,,
model_04_dectree_dep_6_max_leaf_10,0.542,0.772,0.424,0.084,0.593,0.731,0.458,0.092,0.050999999999999934,0.03400000000000003,0.041000000000000036,,,
model_04_dectree_dep_7_max_leaf_10,0.542,0.772,0.424,0.084,0.593,0.731,0.458,0.092,0.050999999999999934,0.03400000000000003,0.041000000000000036,,,
model_04_dectree_dep_5_max_leaf_15,0.519,0.791,0.41,0.081,0.588,0.736,0.454,0.091,0.06899999999999995,0.04400000000000004,0.05500000000000005,,,
model_04_dectree_dep_6_max_leaf_15,0.519,0.791,0.41,0.081,0.588,0.736,0.454,0.091,0.06899999999999995,0.04400000000000004,0.05500000000000005,,,
model_04_dectree_dep_7_max_leaf_15,0.519,0.791,0.41,0.081,0.588,0.736,0.454,0.091,0.06899999999999995,0.04400000000000004,0.05500000000000005,,,
model_04_forest_tree_depth6_max_leaf_10,0.509,0.799,0.391,0.079,0.554,0.766,0.431,0.088,0.04500000000000004,0.03999999999999998,0.03300000000000003,19.0,4.0,100.0
model_04_forest_tree_depth4_max_leaf_10,0.51,0.798,0.392,0.079,0.554,0.765,0.432,0.088,0.04400000000000004,0.03999999999999998,0.03300000000000003,19.0,4.0,100.0
model_04_forest_tree_depth5_max_leaf_10,0.509,0.8,0.391,0.079,0.553,0.766,0.431,0.088,0.04400000000000004,0.03999999999999998,0.03400000000000003,19.0,4.0,100.0
model_04_forest_tree_depth4_max_leaf_20,0.49,0.814,0.375,0.076,0.539,0.778,0.417,0.085,0.049000000000000044,0.04199999999999998,0.03599999999999992,30.0,4.0,100.0
model_04_forest_tree_depth4_max_leaf_15,0.492,0.813,0.376,0.076,0.539,0.777,0.418,0.085,0.04700000000000004,0.04199999999999998,0.03599999999999992,29.0,4.0,100.0
model_04_forest_tree_depth5_max_leaf_15,0.485,0.818,0.372,0.075,0.536,0.781,0.415,0.085,0.051000000000000045,0.04299999999999998,0.03699999999999992,29.0,5.0,100.0
model_04_forest_tree_depth6_max_leaf_15,0.485,0.818,0.372,0.075,0.537,0.78,0.415,0.085,0.052000000000000046,0.04299999999999998,0.03799999999999992,29.0,5.0,100.0
model_04_ada_boost,0.503,0.804,0.413,0.081,0.57,0.754,0.455,0.091,0.06699999999999995,0.04200000000000004,0.050000000000000044,,,
model_04_gbr_boost,0.392,0.881,,,0.504,0.806,,,0.11199999999999999,,0.07499999999999996,,,
