model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_14_lin_reg_2,0.372,0.854,0.284,0.05,0.444,0.801,0.334,0.06,0.07200000000000001,0.050000000000000044,0.052999999999999936,,,
model_14_lin_reg_1,0.465,0.772,0.334,0.06,0.517,0.73,0.374,0.069,0.05199999999999999,0.03999999999999998,0.04200000000000004,,,
model_14_knn_1_5,0.275,0.92,0.194,0.036,0.365,0.866,0.248,0.047,0.08999999999999997,0.05399999999999999,0.05400000000000005,,,
model_14_knn_2_5,0.283,0.915,0.201,0.037,0.395,0.843,0.26,0.049,0.11200000000000004,0.059,0.07200000000000006,,,
model_14_knn_3_5,0.295,0.908,0.211,0.039,0.407,0.833,0.274,0.052,0.11199999999999999,0.06300000000000003,0.07500000000000007,,,
model_14_knn_1_10,0.345,0.874,0.252,0.046,0.411,0.83,0.299,0.056,0.066,0.046999999999999986,0.04400000000000004,,,
model_14_knn_2_10,0.358,0.865,0.265,0.048,0.426,0.817,0.301,0.057,0.068,0.035999999999999976,0.04800000000000004,,,
model_14_knn_3_10,0.364,0.86,0.271,0.049,0.449,0.797,0.322,0.06,0.08500000000000002,0.05099999999999999,0.06299999999999994,,,
model_14_dectree_dep_4_max_leaf_20,0.419,0.814,0.315,0.056,0.432,0.812,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0019999999999998908,,,
model_14_dectree_dep_4_max_leaf_25,0.419,0.814,0.315,0.056,0.432,0.812,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0019999999999998908,,,
model_14_dectree_dep_4_max_leaf_30,0.419,0.814,0.315,0.056,0.432,0.812,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0019999999999998908,,,
model_14_dectree_dep_4_max_leaf_40,0.419,0.814,0.315,0.056,0.432,0.812,0.332,0.059,0.013000000000000012,0.017000000000000015,0.0019999999999998908,,,
model_14_dectree_dep_4_max_leaf_10,0.448,0.788,0.342,0.061,0.461,0.785,0.36,0.065,0.013000000000000012,0.01799999999999996,0.0030000000000000027,,,
model_14_dectree_dep_3_max_leaf_10,0.499,0.737,0.373,0.067,0.514,0.733,0.392,0.071,0.015000000000000013,0.019000000000000017,0.0040000000000000036,,,
model_14_forest_tree_depth4_max_leaf_20,0.385,0.843,0.291,0.052,0.445,0.801,0.339,0.062,0.06,0.04800000000000004,0.041999999999999926,30.0,4.0,100.0
model_14_forest_tree_depth4_max_leaf_25,0.385,0.843,0.291,0.052,0.445,0.801,0.339,0.062,0.06,0.04800000000000004,0.041999999999999926,30.0,4.0,100.0
model_14_forest_tree_depth4_max_leaf_15,0.386,0.842,0.292,0.052,0.445,0.8,0.34,0.062,0.059,0.04800000000000004,0.041999999999999926,28.0,4.0,100.0
model_14_forest_tree_depth4_max_leaf_10,0.41,0.822,0.313,0.056,0.47,0.777,0.363,0.066,0.06,0.04999999999999999,0.04499999999999993,19.0,4.0,100.0
model_14_forest_tree_depth5_max_leaf_10,0.403,0.828,0.309,0.055,0.468,0.779,0.36,0.065,0.065,0.05099999999999999,0.04899999999999993,19.0,4.0,100.0
model_14_forest_tree_depth5_max_leaf_20,0.342,0.876,0.26,0.046,0.419,0.823,0.319,0.058,0.07699999999999996,0.059,0.05300000000000005,39.0,5.0,100.0
model_14_forest_tree_depth5_max_leaf_15,0.365,0.86,0.279,0.05,0.439,0.806,0.338,0.061,0.07400000000000001,0.059,0.05399999999999994,29.0,5.0,100.0
model_14_forest_tree_depth5_max_leaf_25,0.331,0.884,0.25,0.045,0.411,0.83,0.311,0.056,0.07999999999999996,0.061,0.05400000000000005,48.0,5.0,100.0
model_14_ada_boost,0.37,0.858,0.309,0.053,0.453,0.808,0.361,0.063,0.08300000000000002,0.05199999999999999,0.04999999999999993,,,
model_14_gbr_boost,0.139,0.98,,,0.334,0.888,,,0.195,,0.09199999999999997,,,
