model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_08_lin_reg_3,0.488,0.815,0.375,0.074,0.505,0.808,0.384,0.077,0.017000000000000015,0.009000000000000008,0.006999999999999895,,,
model_08_lin_reg_2,0.513,0.796,0.397,0.08,0.503,0.808,0.388,0.078,0.010000000000000009,0.009000000000000008,0.01200000000000001,,,
model_08_lin_reg_1,0.56,0.757,0.438,0.087,0.554,0.768,0.438,0.088,0.006000000000000005,0.0,0.01100000000000001,,,
model_08_knn_1_15,0.454,0.84,0.346,0.07,0.48,0.826,0.363,0.074,0.025999999999999968,0.017000000000000015,0.014000000000000012,,,
model_08_knn_1_20,0.464,0.833,0.357,0.073,0.49,0.819,0.37,0.076,0.025999999999999968,0.013000000000000012,0.014000000000000012,,,
model_08_knn_1_25,0.474,0.826,0.365,0.074,0.497,0.813,0.375,0.077,0.02300000000000002,0.010000000000000009,0.013000000000000012,,,
model_08_knn_1_30,0.481,0.82,0.371,0.076,0.501,0.81,0.379,0.078,0.020000000000000018,0.008000000000000007,0.009999999999999898,,,
model_08_knn_1_40,0.491,0.813,0.378,0.077,0.507,0.806,0.382,0.079,0.016000000000000014,0.0040000000000000036,0.006999999999999895,,,
model_08_knn_1_35,0.487,0.816,0.375,0.076,0.506,0.806,0.383,0.079,0.019000000000000017,0.008000000000000007,0.009999999999999898,,,
model_08_dectree_dep_5_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_08_dectree_dep_6_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_08_dectree_dep_7_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_08_dectree_dep_6_max_leaf_20,0.478,0.823,0.373,0.075,0.521,0.795,0.406,0.081,0.04300000000000004,0.03300000000000003,0.027999999999999914,,,
model_08_dectree_dep_7_max_leaf_20,0.476,0.824,0.372,0.075,0.521,0.795,0.408,0.081,0.04500000000000004,0.035999999999999976,0.028999999999999915,,,
model_08_dectree_dep_5_max_leaf_20,0.479,0.822,0.375,0.075,0.525,0.792,0.411,0.082,0.04600000000000004,0.035999999999999976,0.029999999999999916,,,
model_08_forest_tree_depth6_max_leaf_10,0.491,0.813,0.383,0.077,0.527,0.79,0.397,0.081,0.03600000000000003,0.014000000000000012,0.02299999999999991,19.0,4.0,100.0
model_08_forest_tree_depth5_max_leaf_10,0.491,0.813,0.382,0.077,0.526,0.791,0.397,0.081,0.03500000000000003,0.015000000000000013,0.02199999999999991,19.0,4.0,100.0
model_08_forest_tree_depth5_max_leaf_15,0.467,0.831,0.364,0.074,0.506,0.807,0.384,0.078,0.03899999999999998,0.020000000000000018,0.02399999999999991,29.0,4.0,100.0
model_08_forest_tree_depth6_max_leaf_15,0.467,0.831,0.364,0.074,0.506,0.806,0.384,0.078,0.03899999999999998,0.020000000000000018,0.02499999999999991,29.0,5.0,100.0
model_08_forest_tree_depth5_max_leaf_20,0.453,0.841,0.353,0.071,0.496,0.814,0.377,0.077,0.04299999999999998,0.02400000000000002,0.027000000000000024,39.0,5.0,100.0
model_08_forest_tree_depth6_max_leaf_20,0.451,0.842,0.351,0.071,0.497,0.813,0.377,0.077,0.045999999999999985,0.026000000000000023,0.029000000000000026,39.0,5.0,100.0
model_08_ada_boost,0.479,0.822,0.393,0.077,0.523,0.795,0.406,0.082,0.04400000000000004,0.013000000000000012,0.026999999999999913,,,
model_08_gbr_boost,0.339,0.911,,,0.444,0.851,,,0.10499999999999998,,0.06000000000000005,,,
