model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_03_lin_reg_4,0.498,0.81,0.386,0.075,0.557,0.747,0.423,0.085,0.05900000000000005,0.03699999999999998,0.06300000000000006,,,
model_03_lin_reg_2,0.536,0.779,0.416,0.082,0.566,0.739,0.432,0.087,0.029999999999999916,0.016000000000000014,0.040000000000000036,,,
model_03_lin_reg_3,0.52,0.792,0.403,0.08,0.571,0.734,0.433,0.088,0.050999999999999934,0.02999999999999997,0.05800000000000005,,,
model_03_knn_2_60,0.523,0.79,0.403,0.081,0.55,0.754,0.414,0.085,0.027000000000000024,0.010999999999999954,0.03600000000000003,,,
model_03_knn_2_65,0.526,0.787,0.405,0.082,0.554,0.75,0.416,0.086,0.028000000000000025,0.010999999999999954,0.03700000000000003,,,
model_03_knn_2_70,0.528,0.785,0.408,0.083,0.557,0.748,0.419,0.086,0.029000000000000026,0.01100000000000001,0.03700000000000003,,,
model_03_knn_2_55,0.52,0.792,0.4,0.081,0.546,0.757,0.412,0.085,0.026000000000000023,0.011999999999999955,0.03500000000000003,,,
model_03_knn_3_55,0.521,0.791,0.402,0.081,0.549,0.755,0.414,0.085,0.028000000000000025,0.011999999999999955,0.03600000000000003,,,
model_03_knn_1_70,0.528,0.786,0.406,0.083,0.554,0.75,0.418,0.086,0.026000000000000023,0.011999999999999955,0.03600000000000003,,,
model_03_dectree_dep_4_max_leaf_10,0.541,0.775,0.428,0.084,0.608,0.699,0.466,0.093,0.06699999999999995,0.038000000000000034,0.07600000000000007,,,
model_03_dectree_dep_5_max_leaf_10,0.541,0.775,0.428,0.084,0.608,0.699,0.466,0.093,0.06699999999999995,0.038000000000000034,0.07600000000000007,,,
model_03_dectree_dep_6_max_leaf_10,0.541,0.775,0.428,0.084,0.608,0.699,0.466,0.093,0.06699999999999995,0.038000000000000034,0.07600000000000007,,,
model_03_dectree_dep_4_max_leaf_12,0.53,0.784,0.419,0.083,0.606,0.701,0.46,0.092,0.07599999999999996,0.041000000000000036,0.08300000000000007,,,
model_03_dectree_dep_5_max_leaf_12,0.53,0.784,0.419,0.083,0.606,0.701,0.46,0.092,0.07599999999999996,0.041000000000000036,0.08300000000000007,,,
model_03_dectree_dep_6_max_leaf_12,0.53,0.784,0.419,0.083,0.606,0.701,0.46,0.092,0.07599999999999996,0.041000000000000036,0.08300000000000007,,,
model_03_forest_tree_depth5_max_leaf_15,0.485,0.819,0.379,0.075,0.541,0.762,0.407,0.083,0.05600000000000005,0.02799999999999997,0.05699999999999994,29.0,5.0,100.0
model_03_forest_tree_depth6_max_leaf_15,0.485,0.819,0.379,0.075,0.542,0.761,0.408,0.083,0.05700000000000005,0.02899999999999997,0.05799999999999994,29.0,5.0,100.0
model_03_forest_tree_depth7_max_leaf_15,0.485,0.819,0.379,0.075,0.542,0.76,0.408,0.083,0.05700000000000005,0.02899999999999997,0.05899999999999994,29.0,5.0,100.0
model_03_forest_tree_depth5_max_leaf_20,0.472,0.829,0.367,0.073,0.535,0.767,0.401,0.082,0.06300000000000006,0.03400000000000003,0.061999999999999944,39.0,5.0,100.0
model_03_ada_boost,0.505,0.805,0.414,0.081,0.555,0.75,0.432,0.087,0.050000000000000044,0.018000000000000016,0.05500000000000005,,,
model_03_gbr_boost,0.404,0.874,,,0.524,0.776,,,0.12,,0.09799999999999998,,,
