model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_07_lin_reg_2,0.499,0.807,0.384,0.077,0.492,0.817,0.376,0.075,0.007000000000000006,0.008000000000000007,0.009999999999999898,,,
model_07_lin_reg_3,0.466,0.832,0.357,0.071,0.496,0.814,0.376,0.075,0.02999999999999997,0.019000000000000017,0.018000000000000016,,,
model_07_lin_reg_1,0.544,0.77,0.417,0.084,0.533,0.785,0.407,0.083,0.01100000000000001,0.010000000000000009,0.015000000000000013,,,
model_07_knn_1_25,0.468,0.83,0.362,0.074,0.497,0.813,0.377,0.078,0.02899999999999997,0.015000000000000013,0.017000000000000015,,,
model_07_knn_1_30,0.476,0.825,0.368,0.075,0.499,0.811,0.378,0.078,0.02300000000000002,0.010000000000000009,0.013999999999999901,,,
model_07_knn_1_35,0.481,0.821,0.373,0.076,0.504,0.808,0.381,0.079,0.02300000000000002,0.008000000000000007,0.0129999999999999,,,
model_07_knn_1_40,0.483,0.819,0.375,0.076,0.508,0.805,0.383,0.079,0.025000000000000022,0.008000000000000007,0.013999999999999901,,,
model_07_knn_1_45,0.487,0.816,0.379,0.077,0.51,0.803,0.386,0.08,0.02300000000000002,0.007000000000000006,0.0129999999999999,,,
model_07_knn_1_50,0.493,0.812,0.382,0.078,0.512,0.801,0.387,0.08,0.019000000000000017,0.0050000000000000044,0.01100000000000001,,,
model_07_knn_1_55,0.497,0.809,0.385,0.079,0.514,0.8,0.388,0.08,0.017000000000000015,0.0030000000000000027,0.009000000000000008,,,
model_07_dectree_dep_6_max_leaf_20,0.477,0.823,0.372,0.074,0.526,0.791,0.408,0.081,0.049000000000000044,0.035999999999999976,0.03199999999999992,,,
model_07_dectree_dep_5_max_leaf_20,0.479,0.822,0.375,0.075,0.53,0.788,0.413,0.082,0.051000000000000045,0.03799999999999998,0.03399999999999992,,,
model_07_dectree_dep_7_max_leaf_20,0.476,0.824,0.374,0.075,0.528,0.789,0.414,0.082,0.052000000000000046,0.03999999999999998,0.03499999999999992,,,
model_07_dectree_dep_5_max_leaf_25,0.47,0.829,0.367,0.073,0.53,0.787,0.411,0.082,0.06000000000000005,0.043999999999999984,0.041999999999999926,,,
model_07_dectree_dep_6_max_leaf_25,0.465,0.832,0.364,0.072,0.529,0.788,0.41,0.081,0.064,0.045999999999999985,0.04399999999999993,,,
model_07_dectree_dep_5_max_leaf_30,0.464,0.833,0.362,0.072,0.53,0.788,0.408,0.081,0.066,0.045999999999999985,0.04499999999999993,,,
model_07_forest_tree_depth5_max_leaf_15,0.466,0.831,0.363,0.073,0.504,0.808,0.378,0.077,0.03799999999999998,0.015000000000000013,0.02299999999999991,29.0,5.0,100.0
model_07_forest_tree_depth6_max_leaf_15,0.465,0.832,0.362,0.073,0.503,0.808,0.378,0.077,0.03799999999999998,0.016000000000000014,0.02399999999999991,29.0,5.0,100.0
model_07_forest_tree_depth5_max_leaf_20,0.45,0.843,0.35,0.071,0.492,0.817,0.37,0.075,0.04199999999999998,0.020000000000000018,0.026000000000000023,39.0,5.0,100.0
model_07_forest_tree_depth6_max_leaf_20,0.447,0.845,0.348,0.07,0.492,0.817,0.371,0.076,0.044999999999999984,0.02300000000000002,0.028000000000000025,39.0,5.0,100.0
model_07_forest_tree_depth5_max_leaf_25,0.441,0.849,0.343,0.069,0.487,0.82,0.366,0.075,0.045999999999999985,0.022999999999999965,0.029000000000000026,49.0,5.0,100.0
model_07_forest_tree_depth5_max_leaf_30,0.437,0.852,0.339,0.069,0.484,0.822,0.364,0.074,0.046999999999999986,0.024999999999999967,0.030000000000000027,58.0,5.0,100.0
model_07_forest_tree_depth6_max_leaf_25,0.433,0.854,0.337,0.068,0.484,0.822,0.365,0.074,0.05099999999999999,0.02799999999999997,0.03200000000000003,49.0,6.0,100.0
model_07_ada_boost,0.477,0.824,0.394,0.077,0.534,0.786,0.414,0.083,0.05700000000000005,0.019999999999999962,0.03799999999999992,,,
model_07_gbr_boost,0.256,0.949,,,0.442,0.852,,,0.186,,0.09699999999999998,,,
