model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_11_lin_reg_2,0.408,0.825,0.306,0.054,0.445,0.805,0.332,0.061,0.03700000000000003,0.026000000000000023,0.019999999999999907,,,
model_11_lin_reg_1,0.467,0.77,0.336,0.06,0.51,0.743,0.367,0.067,0.04299999999999998,0.030999999999999972,0.027000000000000024,,,
model_11_knn_1_10,0.351,0.87,0.254,0.046,0.428,0.819,0.31,0.058,0.07700000000000001,0.055999999999999994,0.051000000000000045,,,
model_11_knn_1_15,0.387,0.842,0.282,0.052,0.455,0.796,0.335,0.063,0.068,0.05300000000000005,0.04599999999999993,,,
model_11_knn_1_20,0.411,0.822,0.298,0.055,0.476,0.777,0.347,0.065,0.065,0.04899999999999999,0.04499999999999993,,,
model_11_knn_1_25,0.427,0.808,0.31,0.057,0.486,0.767,0.35,0.066,0.059,0.03999999999999998,0.041000000000000036,,,
model_11_knn_1_30,0.441,0.795,0.322,0.059,0.496,0.758,0.356,0.067,0.05499999999999999,0.033999999999999975,0.03700000000000003,,,
model_11_knn_1_35,0.453,0.784,0.329,0.061,0.503,0.75,0.361,0.068,0.04999999999999999,0.03199999999999997,0.03400000000000003,,,
model_11_knn_1_40,0.461,0.777,0.337,0.062,0.51,0.744,0.366,0.069,0.04899999999999999,0.02899999999999997,0.03300000000000003,,,
model_11_dectree_dep_3_max_leaf_10,0.501,0.736,0.379,0.068,0.523,0.73,0.404,0.073,0.02200000000000002,0.025000000000000022,0.006000000000000005,,,
model_11_dectree_dep_3_max_leaf_15,0.501,0.736,0.379,0.068,0.523,0.73,0.404,0.073,0.02200000000000002,0.025000000000000022,0.006000000000000005,,,
model_11_dectree_dep_3_max_leaf_20,0.501,0.736,0.379,0.068,0.523,0.73,0.404,0.073,0.02200000000000002,0.025000000000000022,0.006000000000000005,,,
model_11_dectree_dep_4_max_leaf_10,0.455,0.782,0.347,0.062,0.489,0.765,0.382,0.069,0.033999999999999975,0.03500000000000003,0.017000000000000015,,,
model_11_dectree_dep_4_max_leaf_15,0.43,0.806,0.326,0.057,0.481,0.772,0.366,0.065,0.05099999999999999,0.03999999999999998,0.03400000000000003,,,
model_11_dectree_dep_4_max_leaf_20,0.43,0.806,0.325,0.057,0.498,0.755,0.376,0.069,0.068,0.05099999999999999,0.051000000000000045,,,
model_11_forest_tree_depth4_max_leaf_10,0.412,0.821,0.314,0.056,0.472,0.78,0.363,0.066,0.06,0.04899999999999999,0.040999999999999925,19.0,4.0,100.0
model_11_forest_tree_depth4_max_leaf_20,0.389,0.841,0.294,0.053,0.451,0.8,0.345,0.063,0.062,0.05099999999999999,0.040999999999999925,30.0,4.0,100.0
model_11_forest_tree_depth4_max_leaf_15,0.39,0.84,0.294,0.053,0.452,0.799,0.346,0.063,0.062,0.05199999999999999,0.040999999999999925,28.0,4.0,100.0
model_11_forest_tree_depth5_max_leaf_10,0.407,0.826,0.31,0.056,0.474,0.778,0.362,0.066,0.067,0.05199999999999999,0.04799999999999993,19.0,4.0,100.0
model_11_forest_tree_depth6_max_leaf_10,0.405,0.828,0.309,0.056,0.474,0.778,0.362,0.066,0.06899999999999995,0.05299999999999999,0.04999999999999993,19.0,4.0,100.0
model_11_forest_tree_depth5_max_leaf_15,0.371,0.855,0.283,0.05,0.443,0.807,0.339,0.062,0.07200000000000001,0.05600000000000005,0.04799999999999993,29.0,5.0,100.0
model_11_ada_boost,0.377,0.852,0.315,0.055,0.459,0.802,0.365,0.065,0.08200000000000002,0.04999999999999999,0.04999999999999993,,,
model_11_gbr_boost,0.156,0.974,,,0.372,0.864,,,0.216,,0.10999999999999999,,,
