model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_06_lin_reg_2,0.49,0.814,0.376,0.075,0.498,0.812,0.383,0.077,0.008000000000000007,0.007000000000000006,0.0019999999999998908,,,
model_06_lin_reg_1,0.541,0.772,0.413,0.083,0.532,0.785,0.406,0.082,0.009000000000000008,0.006999999999999951,0.013000000000000012,,,
model_06_lin_reg_3,0.448,0.844,0.343,0.068,0.535,0.783,0.396,0.081,0.08700000000000002,0.05299999999999999,0.06099999999999994,,,
model_06_knn_1_30,0.473,0.826,0.365,0.075,0.501,0.81,0.381,0.079,0.028000000000000025,0.016000000000000014,0.015999999999999903,,,
model_06_knn_1_35,0.481,0.82,0.371,0.076,0.505,0.807,0.382,0.079,0.02400000000000002,0.01100000000000001,0.0129999999999999,,,
model_06_knn_1_40,0.487,0.816,0.376,0.077,0.507,0.805,0.384,0.079,0.020000000000000018,0.008000000000000007,0.010999999999999899,,,
model_06_knn_2_30,0.481,0.82,0.371,0.076,0.508,0.804,0.386,0.08,0.027000000000000024,0.015000000000000013,0.015999999999999903,,,
model_06_knn_1_45,0.494,0.81,0.382,0.078,0.512,0.802,0.388,0.08,0.018000000000000016,0.006000000000000005,0.008000000000000007,,,
model_06_knn_2_40,0.494,0.81,0.381,0.078,0.514,0.8,0.389,0.081,0.020000000000000018,0.008000000000000007,0.010000000000000009,,,
model_06_dectree_dep_6_max_leaf_20,0.475,0.825,0.37,0.074,0.524,0.792,0.402,0.08,0.049000000000000044,0.03200000000000003,0.03299999999999992,,,
model_06_dectree_dep_5_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_06_dectree_dep_6_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_06_dectree_dep_7_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_06_dectree_dep_5_max_leaf_20,0.476,0.824,0.371,0.074,0.529,0.788,0.406,0.081,0.05300000000000005,0.03500000000000003,0.03599999999999992,,,
model_06_dectree_dep_5_max_leaf_40,0.46,0.836,0.354,0.071,0.518,0.797,0.4,0.08,0.057999999999999996,0.04600000000000004,0.038999999999999924,,,
model_06_forest_tree_depth6_max_leaf_10,0.491,0.812,0.379,0.077,0.533,0.785,0.399,0.082,0.04200000000000004,0.020000000000000018,0.027000000000000024,19.0,4.0,100.0
model_06_forest_tree_depth4_max_leaf_10,0.492,0.812,0.381,0.078,0.534,0.784,0.4,0.082,0.04200000000000004,0.019000000000000017,0.028000000000000025,19.0,4.0,100.0
model_06_forest_tree_depth5_max_leaf_10,0.492,0.812,0.379,0.077,0.534,0.784,0.4,0.082,0.04200000000000004,0.02100000000000002,0.028000000000000025,19.0,4.0,100.0
model_06_forest_tree_depth4_max_leaf_20,0.472,0.827,0.365,0.074,0.517,0.797,0.387,0.079,0.04500000000000004,0.02200000000000002,0.029999999999999916,30.0,4.0,100.0
model_06_forest_tree_depth4_max_leaf_15,0.473,0.826,0.366,0.074,0.518,0.796,0.388,0.079,0.04500000000000004,0.02200000000000002,0.029999999999999916,29.0,4.0,100.0
model_06_forest_tree_depth6_max_leaf_15,0.467,0.831,0.36,0.073,0.514,0.8,0.384,0.079,0.046999999999999986,0.02400000000000002,0.030999999999999917,29.0,5.0,100.0
model_06_forest_tree_depth5_max_leaf_15,0.467,0.831,0.361,0.073,0.515,0.799,0.384,0.079,0.04799999999999999,0.02300000000000002,0.03199999999999992,29.0,5.0,100.0
model_06_ada_boost,0.48,0.822,0.399,0.078,0.537,0.784,0.428,0.085,0.05700000000000005,0.02899999999999997,0.03799999999999992,,,
model_06_gbr_boost,0.361,0.899,,,0.462,0.838,,,0.10100000000000003,,0.061000000000000054,,,
