model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_13_lin_reg_2,0.392,0.838,0.298,0.052,0.46,0.788,0.341,0.062,0.068,0.04300000000000004,0.04999999999999993,,,
model_13_lin_reg_1,0.467,0.77,0.336,0.06,0.511,0.739,0.368,0.067,0.043999999999999984,0.03199999999999997,0.031000000000000028,,,
model_13_knn_1_5,0.285,0.914,0.2,0.037,0.383,0.853,0.254,0.049,0.09800000000000003,0.05399999999999999,0.061000000000000054,,,
model_13_knn_1_10,0.349,0.871,0.255,0.047,0.417,0.826,0.305,0.057,0.068,0.04999999999999999,0.04500000000000004,,,
model_13_knn_1_15,0.383,0.845,0.284,0.052,0.452,0.795,0.335,0.063,0.069,0.051000000000000045,0.04999999999999993,,,
model_13_knn_1_20,0.41,0.823,0.302,0.056,0.473,0.777,0.349,0.066,0.063,0.046999999999999986,0.04599999999999993,,,
model_13_dectree_dep_4_max_leaf_15,0.422,0.812,0.319,0.057,0.445,0.802,0.336,0.06,0.02300000000000002,0.017000000000000015,0.010000000000000009,,,
model_13_dectree_dep_4_max_leaf_10,0.448,0.789,0.342,0.061,0.461,0.787,0.36,0.065,0.013000000000000012,0.01799999999999996,0.0020000000000000018,,,
model_13_dectree_dep_3_max_leaf_10,0.499,0.738,0.373,0.067,0.514,0.735,0.392,0.071,0.015000000000000013,0.019000000000000017,0.0030000000000000027,,,
model_13_dectree_dep_3_max_leaf_15,0.499,0.738,0.373,0.067,0.514,0.735,0.392,0.071,0.015000000000000013,0.019000000000000017,0.0030000000000000027,,,
model_13_dectree_dep_3_max_leaf_20,0.499,0.738,0.373,0.067,0.514,0.735,0.392,0.071,0.015000000000000013,0.019000000000000017,0.0030000000000000027,,,
model_13_dectree_dep_4_max_leaf_20,0.422,0.812,0.319,0.057,0.464,0.785,0.347,0.064,0.04200000000000004,0.02799999999999997,0.027000000000000024,,,
model_13_forest_tree_depth5_max_leaf_15,0.358,0.864,0.273,0.049,0.425,0.819,0.324,0.059,0.067,0.05099999999999999,0.04500000000000004,29.0,4.0,100.0
model_13_forest_tree_depth6_max_leaf_15,0.355,0.867,0.272,0.049,0.428,0.817,0.326,0.059,0.07300000000000001,0.05399999999999999,0.050000000000000044,29.0,5.0,100.0
model_13_forest_tree_depth5_max_leaf_20,0.334,0.882,0.254,0.045,0.408,0.834,0.31,0.056,0.07399999999999995,0.055999999999999994,0.04800000000000004,39.0,5.0,100.0
model_13_forest_tree_depth5_max_leaf_25,0.322,0.89,0.244,0.043,0.4,0.84,0.301,0.055,0.07800000000000001,0.056999999999999995,0.050000000000000044,48.0,5.0,100.0
model_13_forest_tree_depth6_max_leaf_20,0.327,0.887,0.251,0.045,0.406,0.835,0.308,0.056,0.07900000000000001,0.056999999999999995,0.052000000000000046,39.0,5.0,100.0
model_13_forest_tree_depth5_max_leaf_30,0.319,0.893,0.241,0.043,0.398,0.842,0.3,0.055,0.07900000000000001,0.059,0.051000000000000045,57.0,5.0,100.0
model_13_forest_tree_depth6_max_leaf_25,0.306,0.901,0.234,0.042,0.396,0.843,0.297,0.054,0.09000000000000002,0.06299999999999997,0.05800000000000005,49.0,6.0,100.0
model_13_forest_tree_depth6_max_leaf_30,0.291,0.91,0.223,0.04,0.389,0.848,0.288,0.053,0.09800000000000003,0.06499999999999997,0.062000000000000055,59.0,6.0,100.0
model_13_ada_boost,0.363,0.863,0.302,0.052,0.438,0.82,0.349,0.061,0.07500000000000001,0.046999999999999986,0.04300000000000004,,,
model_13_gbr_boost,0.149,0.976,,,0.346,0.88,,,0.19699999999999998,,0.09599999999999997,,,
