model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_09_lin_reg_2,0.517,0.793,0.4,0.08,0.514,0.801,0.393,0.079,0.0030000000000000027,0.007000000000000006,0.008000000000000007,,,
model_09_lin_reg_3,0.499,0.807,0.387,0.077,0.514,0.8,0.396,0.08,0.015000000000000013,0.009000000000000008,0.007000000000000006,,,
model_09_lin_reg_1,0.56,0.757,0.439,0.087,0.556,0.767,0.438,0.088,0.0040000000000000036,0.0010000000000000009,0.010000000000000009,,,
model_09_knn_1_20,0.46,0.836,0.354,0.072,0.484,0.823,0.369,0.076,0.023999999999999966,0.015000000000000013,0.013000000000000012,,,
model_09_knn_1_15,0.446,0.846,0.343,0.07,0.484,0.823,0.369,0.076,0.03799999999999998,0.025999999999999968,0.02300000000000002,,,
model_09_knn_1_30,0.475,0.825,0.366,0.075,0.493,0.817,0.373,0.077,0.018000000000000016,0.007000000000000006,0.008000000000000007,,,
model_09_knn_1_25,0.47,0.829,0.362,0.074,0.49,0.819,0.373,0.077,0.020000000000000018,0.01100000000000001,0.010000000000000009,,,
model_09_knn_1_35,0.479,0.822,0.37,0.075,0.496,0.815,0.374,0.077,0.017000000000000015,0.0040000000000000036,0.007000000000000006,,,
model_09_knn_1_40,0.485,0.818,0.374,0.076,0.5,0.811,0.377,0.078,0.015000000000000013,0.0030000000000000027,0.006999999999999895,,,
model_09_dectree_dep_5_max_leaf_10,0.532,0.781,0.421,0.084,0.578,0.748,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_09_dectree_dep_6_max_leaf_10,0.532,0.781,0.421,0.084,0.578,0.748,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_09_dectree_dep_7_max_leaf_10,0.532,0.781,0.421,0.084,0.578,0.748,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_09_dectree_dep_5_max_leaf_20,0.48,0.822,0.376,0.075,0.525,0.792,0.409,0.081,0.04500000000000004,0.032999999999999974,0.029999999999999916,,,
model_09_dectree_dep_6_max_leaf_20,0.478,0.823,0.373,0.075,0.521,0.795,0.406,0.081,0.04300000000000004,0.03300000000000003,0.027999999999999914,,,
model_09_dectree_dep_7_max_leaf_20,0.476,0.824,0.372,0.075,0.521,0.795,0.408,0.081,0.04500000000000004,0.035999999999999976,0.028999999999999915,,,
model_09_forest_tree_depth5_max_leaf_10,0.488,0.815,0.381,0.077,0.532,0.786,0.4,0.082,0.04400000000000004,0.019000000000000017,0.028999999999999915,19.0,4.0,100.0
model_09_forest_tree_depth6_max_leaf_10,0.488,0.816,0.381,0.077,0.532,0.787,0.4,0.082,0.04400000000000004,0.019000000000000017,0.028999999999999915,19.0,4.0,100.0
model_09_forest_tree_depth5_max_leaf_15,0.465,0.833,0.362,0.073,0.513,0.801,0.387,0.079,0.04799999999999999,0.025000000000000022,0.03199999999999992,29.0,4.0,100.0
model_09_forest_tree_depth6_max_leaf_15,0.464,0.833,0.361,0.073,0.512,0.802,0.387,0.079,0.04799999999999999,0.026000000000000023,0.030999999999999917,29.0,5.0,100.0
model_09_forest_tree_depth6_max_leaf_20,0.448,0.845,0.349,0.07,0.501,0.811,0.379,0.077,0.05299999999999999,0.030000000000000027,0.03399999999999992,39.0,5.0,100.0
model_09_forest_tree_depth5_max_leaf_20,0.451,0.843,0.35,0.071,0.504,0.809,0.381,0.077,0.05299999999999999,0.031000000000000028,0.03399999999999992,39.0,5.0,100.0
model_09_ada_boost,0.484,0.819,0.397,0.078,0.528,0.791,0.41,0.082,0.04400000000000004,0.012999999999999956,0.027999999999999914,,,
model_09_gbr_boost,0.347,0.907,,,0.453,0.845,,,0.10600000000000004,,0.062000000000000055,,,
