model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_17_lin_reg_2,0.352,0.869,0.271,0.047,0.467,0.779,0.343,0.061,0.11500000000000005,0.07200000000000001,0.08999999999999997,,,
model_17_lin_reg_1,0.463,0.773,0.332,0.06,0.515,0.73,0.377,0.07,0.05199999999999999,0.044999999999999984,0.04300000000000004,,,
model_17_knn_1_5,0.271,0.922,0.191,0.035,0.328,0.89,0.23,0.044,0.056999999999999995,0.03900000000000001,0.03200000000000003,,,
model_17_knn_1_10,0.345,0.874,0.243,0.045,0.396,0.841,0.274,0.053,0.051000000000000045,0.031000000000000028,0.03300000000000003,,,
model_17_knn_1_15,0.386,0.842,0.274,0.051,0.43,0.812,0.309,0.059,0.043999999999999984,0.034999999999999976,0.029999999999999916,,,
model_17_knn_1_20,0.417,0.816,0.297,0.055,0.462,0.784,0.329,0.063,0.04500000000000004,0.03200000000000003,0.03199999999999992,,,
model_17_knn_1_25,0.435,0.799,0.312,0.058,0.481,0.765,0.347,0.066,0.045999999999999985,0.034999999999999976,0.03400000000000003,,,
model_17_dectree_dep_3_max_leaf_15,0.494,0.741,0.366,0.066,0.523,0.722,0.396,0.072,0.029000000000000026,0.030000000000000027,0.019000000000000017,,,
model_17_dectree_dep_3_max_leaf_20,0.494,0.741,0.366,0.066,0.523,0.722,0.396,0.072,0.029000000000000026,0.030000000000000027,0.019000000000000017,,,
model_17_dectree_dep_3_max_leaf_35,0.494,0.741,0.366,0.066,0.523,0.722,0.396,0.072,0.029000000000000026,0.030000000000000027,0.019000000000000017,,,
model_17_dectree_dep_4_max_leaf_15,0.416,0.817,0.313,0.055,0.444,0.799,0.344,0.061,0.028000000000000025,0.030999999999999972,0.017999999999999905,,,
model_17_dectree_dep_4_max_leaf_20,0.416,0.817,0.312,0.055,0.443,0.8,0.343,0.061,0.027000000000000024,0.031000000000000028,0.016999999999999904,,,
model_17_dectree_dep_4_max_leaf_10,0.441,0.794,0.337,0.06,0.486,0.76,0.379,0.068,0.044999999999999984,0.04199999999999998,0.03400000000000003,,,
model_17_forest_tree_depth4_max_leaf_10,0.409,0.823,0.307,0.056,0.468,0.777,0.356,0.066,0.05900000000000005,0.04899999999999999,0.04599999999999993,19.0,4.0,150.0
model_17_forest_tree_depth5_max_leaf_10,0.403,0.828,0.305,0.055,0.466,0.779,0.355,0.065,0.063,0.04999999999999999,0.04899999999999993,19.0,4.0,150.0
model_17_forest_tree_depth4_max_leaf_20,0.383,0.845,0.285,0.052,0.447,0.797,0.336,0.062,0.064,0.051000000000000045,0.04799999999999993,30.0,4.0,150.0
model_17_forest_tree_depth4_max_leaf_25,0.383,0.845,0.285,0.052,0.447,0.797,0.336,0.062,0.064,0.051000000000000045,0.04799999999999993,30.0,4.0,150.0
model_17_forest_tree_depth4_max_leaf_15,0.384,0.844,0.286,0.052,0.449,0.796,0.337,0.063,0.065,0.051000000000000045,0.04799999999999993,28.0,4.0,150.0
model_17_forest_tree_depth5_max_leaf_15,0.363,0.861,0.273,0.049,0.437,0.806,0.33,0.061,0.07400000000000001,0.056999999999999995,0.05499999999999994,29.0,5.0,150.0
model_17_ada_boost,0.366,0.86,0.305,0.053,0.453,0.808,0.358,0.063,0.08700000000000002,0.05299999999999999,0.051999999999999935,,,
model_17_gbr_boost,0.134,0.981,,,0.353,0.873,,,0.21899999999999997,,0.10799999999999998,,,
