model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_01_lin_reg_1,0.634,0.679,0.507,0.1,0.643,0.672,0.517,0.101,0.009000000000000008,0.010000000000000009,0.007000000000000006,,,
model_01_lin_reg_6,0.572,0.739,0.446,0.088,0.583,0.731,0.46,0.09,0.01100000000000001,0.014000000000000012,0.008000000000000007,,,
model_01_lin_reg_4,0.593,0.72,0.47,0.092,0.606,0.709,0.481,0.095,0.013000000000000012,0.01100000000000001,0.01100000000000001,,,
model_01_knn_1_30,0.554,0.755,0.431,0.086,0.564,0.748,0.444,0.088,0.009999999999999898,0.013000000000000012,0.007000000000000006,,,
model_01_knn_1_35,0.561,0.75,0.436,0.087,0.566,0.746,0.446,0.089,0.004999999999999893,0.010000000000000009,0.0040000000000000036,,,
model_01_knn_2_30,0.554,0.755,0.433,0.087,0.566,0.746,0.445,0.088,0.0119999999999999,0.01200000000000001,0.009000000000000008,,,
model_01_knn_3_35,0.56,0.75,0.438,0.088,0.568,0.745,0.446,0.089,0.007999999999999896,0.008000000000000007,0.0050000000000000044,,,
model_01_knn_3_30,0.554,0.755,0.432,0.087,0.567,0.745,0.446,0.089,0.0129999999999999,0.014000000000000012,0.010000000000000009,,,
model_01_knn_2_35,0.56,0.75,0.437,0.088,0.568,0.744,0.447,0.089,0.007999999999999896,0.010000000000000009,0.006000000000000005,,,
model_01_dectree_dep_6_max_leaf_12,0.566,0.745,0.443,0.088,0.6,0.715,0.474,0.093,0.03400000000000003,0.030999999999999972,0.030000000000000027,,,
model_01_dectree_dep_6_max_leaf_10,0.574,0.737,0.452,0.089,0.612,0.703,0.485,0.096,0.038000000000000034,0.032999999999999974,0.03400000000000003,,,
model_01_dectree_dep_6_max_leaf_8,0.584,0.728,0.46,0.091,0.618,0.697,0.489,0.097,0.03400000000000003,0.02899999999999997,0.031000000000000028,,,
model_01_dectree_dep_6_max_leaf_6,0.603,0.711,0.477,0.095,0.636,0.68,0.499,0.099,0.03300000000000003,0.02200000000000002,0.030999999999999917,,,
model_01_forest_tree_depth4_max_leaf_15,0.548,0.761,0.424,0.084,0.578,0.734,0.457,0.091,0.029999999999999916,0.03300000000000003,0.027000000000000024,29.0,4.0,100.0
model_01_forest_tree_depth4_max_leaf_20,0.547,0.761,0.423,0.084,0.578,0.734,0.457,0.09,0.030999999999999917,0.03400000000000003,0.027000000000000024,30.0,4.0,100.0
model_01_forest_tree_depth4_max_leaf_25,0.547,0.761,0.423,0.084,0.578,0.734,0.457,0.09,0.030999999999999917,0.03400000000000003,0.027000000000000024,30.0,4.0,100.0
model_01_forest_tree_depth4_max_leaf_10,0.557,0.752,0.433,0.086,0.584,0.728,0.462,0.092,0.026999999999999913,0.029000000000000026,0.02400000000000002,19.0,4.0,100.0
model_01_ada_boost,0.561,0.749,0.448,0.088,0.598,0.716,0.476,0.093,0.03699999999999992,0.02799999999999997,0.03300000000000003,,,
model_01_gbr_boost,0.483,0.814,,,0.56,0.751,,,0.07700000000000007,,0.06299999999999994,,,
