model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_10_lin_reg_2,0.418,0.817,0.311,0.055,0.45,0.802,0.333,0.061,0.03200000000000003,0.02200000000000002,0.014999999999999902,,,
model_10_lin_reg_1,0.469,0.769,0.336,0.06,0.514,0.741,0.371,0.068,0.04500000000000004,0.034999999999999976,0.028000000000000025,,,
model_10_lin_reg_3,0.336,0.881,0.254,0.044,0.67,0.561,0.381,0.069,0.334,0.127,0.31999999999999995,,,
model_10_knn_1_25,0.422,0.813,0.307,0.056,0.481,0.773,0.348,0.065,0.059,0.04099999999999998,0.039999999999999925,,,
model_10_knn_1_30,0.437,0.8,0.317,0.058,0.488,0.767,0.352,0.066,0.05099999999999999,0.034999999999999976,0.03300000000000003,,,
model_10_knn_1_35,0.447,0.79,0.326,0.06,0.491,0.764,0.355,0.066,0.043999999999999984,0.02899999999999997,0.026000000000000023,,,
model_10_knn_1_40,0.456,0.781,0.333,0.062,0.499,0.756,0.363,0.068,0.04299999999999998,0.02999999999999997,0.025000000000000022,,,
model_10_knn_1_45,0.465,0.773,0.339,0.063,0.506,0.749,0.369,0.069,0.04099999999999998,0.02999999999999997,0.02400000000000002,,,
model_10_knn_1_50,0.47,0.768,0.342,0.063,0.512,0.743,0.375,0.07,0.04200000000000004,0.032999999999999974,0.025000000000000022,,,
model_10_knn_1_55,0.475,0.763,0.345,0.064,0.521,0.735,0.383,0.072,0.04600000000000004,0.038000000000000034,0.028000000000000025,,,
model_10_dectree_dep_5_max_leaf_20,0.374,0.853,0.284,0.05,0.472,0.782,0.36,0.064,0.09799999999999998,0.07600000000000001,0.07099999999999995,,,
model_10_dectree_dep_5_max_leaf_25,0.363,0.862,0.272,0.048,0.471,0.783,0.356,0.064,0.10799999999999998,0.08399999999999996,0.07899999999999996,,,
model_10_dectree_dep_5_max_leaf_30,0.36,0.864,0.267,0.047,0.472,0.782,0.359,0.065,0.11199999999999999,0.09199999999999997,0.08199999999999996,,,
model_10_dectree_dep_7_max_leaf_20,0.364,0.861,0.287,0.05,0.494,0.761,0.383,0.068,0.13,0.09600000000000003,0.09999999999999998,,,
model_10_dectree_dep_6_max_leaf_25,0.338,0.88,0.268,0.046,0.488,0.767,0.369,0.065,0.14999999999999997,0.10099999999999998,0.11299999999999999,,,
model_10_dectree_dep_7_max_leaf_25,0.337,0.881,0.269,0.047,0.488,0.767,0.37,0.066,0.15099999999999997,0.10099999999999998,0.11399999999999999,,,
model_10_forest_tree_depth4_max_leaf_10,0.408,0.826,0.309,0.055,0.47,0.784,0.358,0.066,0.062,0.04899999999999999,0.041999999999999926,19.0,4.0,100.0
model_10_forest_tree_depth4_max_leaf_20,0.386,0.844,0.289,0.052,0.446,0.805,0.338,0.062,0.06,0.049000000000000044,0.038999999999999924,30.0,4.0,100.0
model_10_forest_tree_depth4_max_leaf_15,0.386,0.843,0.29,0.052,0.447,0.805,0.339,0.062,0.061,0.049000000000000044,0.03799999999999992,28.0,4.0,100.0
model_10_forest_tree_depth5_max_leaf_10,0.4,0.832,0.305,0.055,0.469,0.785,0.359,0.066,0.06899999999999995,0.05399999999999999,0.04699999999999993,19.0,4.0,100.0
model_10_forest_tree_depth5_max_leaf_15,0.366,0.86,0.276,0.049,0.437,0.813,0.331,0.06,0.07100000000000001,0.05499999999999999,0.04700000000000004,29.0,5.0,100.0
model_10_forest_tree_depth6_max_leaf_10,0.399,0.833,0.304,0.055,0.469,0.785,0.36,0.066,0.06999999999999995,0.055999999999999994,0.04799999999999993,19.0,4.0,100.0
model_10_ada_boost,0.386,0.845,0.324,0.056,0.461,0.801,0.368,0.064,0.07500000000000001,0.043999999999999984,0.04399999999999993,,,
model_10_gbr_boost,0.162,0.973,,,0.36,0.873,,,0.19799999999999998,,0.09999999999999998,,,
