model_name,train_r2,train_mae,train_mape,test_r2,test_mae,test_mape,delta_MAE,delta_R2
model_25_knn_1_5,0.912,0.196,0.035,0.835,0.267,0.061,0.07100000000000001,0.07700000000000007
model_25_knn_2_5,0.904,0.206,0.037,0.837,0.272,0.061,0.06600000000000003,0.06700000000000006
model_25_knn_3_5,0.904,0.205,0.037,0.835,0.282,0.062,0.07699999999999999,0.06900000000000006
model_25_knn_1_10,0.87,0.248,0.044,0.801,0.316,0.07,0.068,0.06899999999999995
model_25_knn_2_10,0.861,0.254,0.046,0.803,0.319,0.07,0.065,0.05799999999999994
model_25_knn_3_10,0.856,0.259,0.046,0.794,0.327,0.071,0.068,0.061999999999999944
model_25_dectree_dep_4_max_leaf_10,0.787,0.333,0.058,0.816,0.329,0.069,0.0040000000000000036,0.028999999999999915
model_25_dectree_dep_4_max_leaf_20,0.813,0.305,0.054,0.825,0.326,0.069,0.02100000000000002,0.01200000000000001
model_25_dectree_dep_4_max_leaf_25,0.813,0.305,0.054,0.825,0.326,0.069,0.02100000000000002,0.01200000000000001
model_25_dectree_dep_4_max_leaf_15,0.811,0.309,0.054,0.822,0.332,0.07,0.02300000000000002,0.010999999999999899
model_25_dectree_dep_4_max_leaf_5,0.681,0.426,0.073,0.688,0.455,0.092,0.029000000000000026,0.006999999999999895
model_25_forest_tree_depth6_max_leaf_10,0.826,0.301,0.053,0.706,0.395,0.086,0.09400000000000003,0.12
model_25_forest_tree_depth7_max_leaf_10,0.826,0.301,0.053,0.706,0.395,0.086,0.09400000000000003,0.12
model_25_forest_tree_depth5_max_leaf_10,0.824,0.302,0.053,0.707,0.396,0.086,0.09400000000000003,0.11699999999999999
model_25_forest_tree_depth7_max_leaf_15,0.862,0.267,0.047,0.733,0.369,0.081,0.10199999999999998,0.129
model_25_forest_tree_depth5_max_leaf_15,0.857,0.27,0.047,0.729,0.372,0.082,0.10199999999999998,0.128
model_25_forest_tree_depth6_max_leaf_15,0.862,0.267,0.047,0.732,0.37,0.081,0.10299999999999998,0.13
model_25_extra_depth6_max_feat_0.5,0.877,0.253,0.044,0.778,0.348,0.076,0.09499999999999997,0.09899999999999998
model_25_extra_depth6_max_feat_1.0,0.904,0.219,0.038,0.794,0.322,0.071,0.10300000000000001,0.10999999999999999
model_25_extra_depth7_max_feat_0.5,0.922,0.2,0.035,0.802,0.307,0.068,0.10699999999999998,0.12
model_25_extra_depth7_max_feat_1.0,0.939,0.172,0.03,0.816,0.297,0.066,0.125,0.123
model_25_extra_depth8_max_feat_0.5,0.951,0.155,0.027,0.806,0.297,0.067,0.142,0.1449999999999999
model_25_extra_depth8_max_feat_1.0,0.965,0.131,0.023,0.83,0.28,0.063,0.14900000000000002,0.135
