model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_19_lin_reg_2,0.386,0.843,0.292,0.052,0.46,0.789,0.352,0.063,0.07400000000000001,0.06,0.05399999999999994,,,
model_19_lin_reg_1,0.466,0.77,0.334,0.06,0.507,0.742,0.37,0.068,0.04099999999999998,0.035999999999999976,0.028000000000000025,,,
model_19_knn_1_5,0.283,0.916,0.204,0.037,0.335,0.888,0.24,0.046,0.052000000000000046,0.036000000000000004,0.028000000000000025,,,
model_19_knn_1_10,0.346,0.874,0.251,0.046,0.397,0.842,0.289,0.055,0.051000000000000045,0.03799999999999998,0.03200000000000003,,,
model_19_knn_1_15,0.381,0.847,0.278,0.051,0.432,0.813,0.316,0.06,0.05099999999999999,0.03799999999999998,0.03400000000000003,,,
model_19_knn_1_20,0.406,0.826,0.293,0.054,0.453,0.794,0.329,0.063,0.046999999999999986,0.03600000000000003,0.03199999999999992,,,
model_19_knn_1_25,0.427,0.808,0.307,0.057,0.466,0.783,0.337,0.064,0.039000000000000035,0.030000000000000027,0.025000000000000022,,,
model_19_dectree_dep_4_max_leaf_20,0.416,0.817,0.312,0.055,0.445,0.802,0.344,0.061,0.029000000000000026,0.03199999999999997,0.014999999999999902,,,
model_19_dectree_dep_4_max_leaf_30,0.416,0.817,0.312,0.055,0.445,0.802,0.344,0.061,0.029000000000000026,0.03199999999999997,0.014999999999999902,,,
model_19_dectree_dep_4_max_leaf_10,0.441,0.795,0.337,0.06,0.486,0.764,0.379,0.068,0.044999999999999984,0.04199999999999998,0.031000000000000028,,,
model_19_dectree_dep_4_max_leaf_25,0.416,0.817,0.312,0.055,0.464,0.784,0.356,0.063,0.04800000000000004,0.043999999999999984,0.03299999999999992,,,
model_19_dectree_dep_4_max_leaf_35,0.416,0.817,0.312,0.055,0.464,0.784,0.356,0.063,0.04800000000000004,0.043999999999999984,0.03299999999999992,,,
model_19_dectree_dep_4_max_leaf_15,0.416,0.817,0.313,0.055,0.476,0.773,0.363,0.064,0.06,0.04999999999999999,0.04399999999999993,,,
model_19_forest_tree_depth5_max_leaf_10,0.394,0.836,0.297,0.054,0.459,0.79,0.35,0.064,0.065,0.05299999999999999,0.04599999999999993,19.0,4.0,150.0
model_19_forest_tree_depth5_max_leaf_15,0.356,0.867,0.268,0.048,0.43,0.815,0.328,0.06,0.07400000000000001,0.06,0.052000000000000046,29.0,5.0,150.0
model_19_forest_tree_depth5_max_leaf_20,0.333,0.883,0.25,0.045,0.416,0.827,0.314,0.057,0.08299999999999996,0.064,0.05600000000000005,39.0,5.0,150.0
model_19_forest_tree_depth5_max_leaf_25,0.323,0.89,0.241,0.043,0.407,0.834,0.306,0.056,0.08399999999999996,0.065,0.05600000000000005,48.0,5.0,150.0
model_19_ada_boost,0.376,0.853,0.313,0.054,0.453,0.808,0.366,0.065,0.07700000000000001,0.05299999999999999,0.04499999999999993,,,
model_19_gbr_boost,0.145,0.978,,,0.366,0.866,,,0.221,,0.11199999999999999,,,
