model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_16_lin_reg_2,0.42,0.814,0.312,0.056,0.44,0.811,0.33,0.06,0.020000000000000018,0.018000000000000016,0.0029999999999998916,,,
model_16_lin_reg_1,0.47,0.769,0.335,0.061,0.51,0.745,0.371,0.068,0.040000000000000036,0.035999999999999976,0.02400000000000002,,,
model_16_lin_reg_3,0.328,0.887,0.241,0.042,0.633,0.608,0.353,0.062,0.305,0.11199999999999999,0.279,,,
model_16_knn_2_45,0.459,0.779,0.328,0.061,0.502,0.753,0.364,0.069,0.04299999999999998,0.035999999999999976,0.026000000000000023,,,
model_16_knn_3_45,0.459,0.779,0.329,0.061,0.505,0.751,0.365,0.069,0.045999999999999985,0.035999999999999976,0.028000000000000025,,,
model_16_knn_1_45,0.46,0.778,0.329,0.061,0.499,0.756,0.368,0.07,0.03899999999999998,0.03899999999999998,0.02200000000000002,,,
model_16_knn_2_50,0.465,0.773,0.334,0.062,0.508,0.748,0.369,0.07,0.04299999999999998,0.034999999999999976,0.025000000000000022,,,
model_16_knn_3_50,0.467,0.771,0.334,0.062,0.512,0.743,0.372,0.07,0.044999999999999984,0.03799999999999998,0.028000000000000025,,,
model_16_knn_1_50,0.466,0.772,0.333,0.062,0.508,0.748,0.374,0.071,0.04199999999999998,0.04099999999999998,0.02400000000000002,,,
model_16_dectree_dep_3_max_leaf_10,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_dectree_dep_3_max_leaf_15,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_dectree_dep_3_max_leaf_20,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_dectree_dep_3_max_leaf_25,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_dectree_dep_3_max_leaf_30,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_dectree_dep_3_max_leaf_35,0.496,0.742,0.369,0.067,0.531,0.724,0.407,0.073,0.03500000000000003,0.03799999999999998,0.018000000000000016,,,
model_16_forest_tree_depth4_max_leaf_15,0.38,0.849,0.281,0.051,0.441,0.81,0.336,0.062,0.061,0.05499999999999999,0.038999999999999924,28.0,4.0,100.0
model_16_forest_tree_depth4_max_leaf_20,0.379,0.849,0.281,0.051,0.44,0.81,0.336,0.062,0.061,0.05499999999999999,0.038999999999999924,30.0,4.0,100.0
model_16_forest_tree_depth4_max_leaf_25,0.379,0.849,0.281,0.051,0.44,0.81,0.336,0.062,0.061,0.05499999999999999,0.038999999999999924,30.0,4.0,100.0
model_16_forest_tree_depth4_max_leaf_30,0.379,0.849,0.281,0.051,0.44,0.81,0.336,0.062,0.061,0.05499999999999999,0.038999999999999924,30.0,4.0,100.0
model_16_forest_tree_depth5_max_leaf_15,0.364,0.861,0.273,0.049,0.432,0.817,0.332,0.061,0.068,0.059,0.04400000000000004,29.0,5.0,100.0
model_16_forest_tree_depth5_max_leaf_30,0.33,0.886,0.246,0.044,0.405,0.839,0.307,0.056,0.07500000000000001,0.061,0.04700000000000004,57.0,5.0,100.0
model_16_forest_tree_depth5_max_leaf_20,0.344,0.876,0.257,0.046,0.416,0.831,0.318,0.058,0.07200000000000001,0.061,0.04500000000000004,39.0,5.0,100.0
model_16_forest_tree_depth5_max_leaf_25,0.333,0.883,0.248,0.045,0.408,0.837,0.31,0.057,0.07499999999999996,0.062,0.04600000000000004,48.0,5.0,100.0
model_16_ada_boost,0.387,0.845,0.321,0.056,0.46,0.801,0.374,0.065,0.07300000000000001,0.05299999999999999,0.04399999999999993,,,
model_16_gbr_boost,0.104,0.989,,,0.368,0.867,,,0.264,,0.122,,,
