model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_18_lin_reg_2,0.363,0.861,0.277,0.049,0.45,0.796,0.345,0.061,0.08700000000000002,0.06799999999999995,0.06499999999999995,,,
model_18_lin_reg_1,0.465,0.771,0.332,0.06,0.514,0.733,0.375,0.069,0.04899999999999999,0.04299999999999998,0.038000000000000034,,,
model_18_knn_1_5,0.273,0.921,0.193,0.036,0.32,0.897,0.227,0.043,0.046999999999999986,0.034,0.02400000000000002,,,
model_18_knn_1_10,0.346,0.873,0.249,0.046,0.395,0.843,0.278,0.053,0.049000000000000044,0.029000000000000026,0.030000000000000027,,,
model_18_dectree_dep_4_max_leaf_20,0.416,0.817,0.312,0.055,0.445,0.801,0.344,0.061,0.029000000000000026,0.03199999999999997,0.015999999999999903,,,
model_18_dectree_dep_4_max_leaf_10,0.441,0.794,0.337,0.06,0.486,0.762,0.379,0.068,0.044999999999999984,0.04199999999999998,0.03200000000000003,,,
model_18_dectree_dep_4_max_leaf_15,0.416,0.817,0.313,0.055,0.464,0.783,0.356,0.063,0.04800000000000004,0.04299999999999998,0.03399999999999992,,,
model_18_forest_tree_depth4_max_leaf_10,0.409,0.823,0.306,0.055,0.469,0.778,0.358,0.066,0.06,0.05199999999999999,0.04499999999999993,19.0,4.0,150.0
model_18_forest_tree_depth5_max_leaf_10,0.402,0.829,0.302,0.055,0.465,0.782,0.356,0.066,0.063,0.05399999999999999,0.04699999999999993,19.0,4.0,150.0
model_18_forest_tree_depth4_max_leaf_15,0.383,0.845,0.284,0.051,0.447,0.798,0.34,0.063,0.064,0.05600000000000005,0.04699999999999993,28.0,4.0,150.0
model_18_forest_tree_depth4_max_leaf_20,0.382,0.845,0.283,0.051,0.447,0.799,0.34,0.063,0.065,0.05700000000000005,0.04599999999999993,30.0,4.0,150.0
model_18_forest_tree_depth4_max_leaf_25,0.382,0.845,0.283,0.051,0.447,0.799,0.34,0.063,0.065,0.05700000000000005,0.04599999999999993,30.0,4.0,150.0
model_18_forest_tree_depth5_max_leaf_15,0.363,0.861,0.273,0.049,0.436,0.809,0.333,0.061,0.07300000000000001,0.06,0.051999999999999935,29.0,5.0,150.0
model_18_ada_boost,0.372,0.856,0.309,0.054,0.448,0.811,0.361,0.064,0.07600000000000001,0.05199999999999999,0.04499999999999993,,,
model_18_gbr_boost,0.137,0.98,,,0.356,0.872,,,0.21899999999999997,,0.10799999999999998,,,
