model_name,train_r2,train_mae,train_mape,test_r2,test_mae,test_mape,delta_MAE,delta_R2
model_23_knn_1_10,0.873,0.305,0.062,0.866,0.317,0.063,0.01200000000000001,0.007000000000000006
model_23_knn_2_10,0.868,0.313,0.064,0.85,0.335,0.067,0.02200000000000002,0.018000000000000016
model_23_knn_1_15,0.852,0.332,0.068,0.848,0.339,0.068,0.007000000000000006,0.0040000000000000036
model_23_knn_1_20,0.839,0.349,0.071,0.835,0.351,0.071,0.0020000000000000018,0.0040000000000000036
model_23_knn_2_15,0.848,0.337,0.069,0.835,0.352,0.071,0.014999999999999958,0.013000000000000012
model_23_knn_2_20,0.835,0.352,0.072,0.829,0.359,0.072,0.007000000000000006,0.006000000000000005
model_23_dectree_dep_4_max_leaf_10,0.78,0.413,0.083,0.755,0.426,0.084,0.013000000000000012,0.025000000000000022
model_23_dectree_dep_5_max_leaf_10,0.78,0.413,0.083,0.755,0.426,0.084,0.013000000000000012,0.025000000000000022
model_23_dectree_dep_5_max_leaf_15,0.808,0.39,0.078,0.781,0.409,0.08,0.01899999999999996,0.027000000000000024
model_23_dectree_dep_4_max_leaf_20,0.807,0.388,0.078,0.78,0.411,0.08,0.022999999999999965,0.027000000000000024
model_23_dectree_dep_4_max_leaf_15,0.806,0.39,0.078,0.776,0.414,0.08,0.023999999999999966,0.030000000000000027
model_23_dectree_dep_5_max_leaf_20,0.824,0.371,0.074,0.778,0.407,0.079,0.035999999999999976,0.04599999999999993
model_23_forest_tree_depth4_max_leaf_10,0.802,0.384,0.078,0.795,0.383,0.078,0.0010000000000000009,0.007000000000000006
model_23_forest_tree_depth5_max_leaf_10,0.803,0.383,0.078,0.795,0.384,0.078,0.0010000000000000009,0.008000000000000007
model_23_forest_tree_depth6_max_leaf_10,0.803,0.383,0.078,0.795,0.384,0.078,0.0010000000000000009,0.008000000000000007
model_23_forest_tree_depth4_max_leaf_20,0.819,0.368,0.075,0.808,0.371,0.075,0.0030000000000000027,0.010999999999999899
model_23_forest_tree_depth4_max_leaf_15,0.818,0.369,0.075,0.808,0.372,0.075,0.0030000000000000027,0.009999999999999898
model_23_forest_tree_depth5_max_leaf_15,0.826,0.363,0.074,0.813,0.369,0.074,0.006000000000000005,0.013000000000000012
model_23_ada_boost,0.828,0.393,0.077,0.81,0.39,0.076,0.0030000000000000027,0.017999999999999905
model_23_extra_depth5_max_nodes_50,0.827,0.365,0.074,0.82,0.365,0.073,0.0,0.007000000000000006
model_23_extra_depth6_max_nodes_50,0.856,0.333,0.067,0.837,0.348,0.069,0.014999999999999958,0.019000000000000017
model_23_extra_depth7_max_nodes_50,0.867,0.322,0.065,0.842,0.344,0.068,0.021999999999999964,0.025000000000000022
model_23_extra_depth8_max_nodes_50,0.872,0.318,0.064,0.846,0.341,0.068,0.02300000000000002,0.026000000000000023
model_23_extra_depth9_max_nodes_50,0.875,0.315,0.063,0.846,0.342,0.068,0.027000000000000024,0.029000000000000026
model_23_extra_depth10_max_nodes_50,0.876,0.313,0.063,0.846,0.341,0.068,0.028000000000000025,0.030000000000000027
