model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_05_lin_reg_3,0.463,0.834,0.356,0.071,0.514,0.8,0.395,0.08,0.05099999999999999,0.039000000000000035,0.03399999999999992,,,
model_05_lin_reg_2,0.496,0.809,0.383,0.077,0.515,0.799,0.392,0.08,0.019000000000000017,0.009000000000000008,0.010000000000000009,,,
model_05_lin_reg_1,0.541,0.773,0.414,0.083,0.532,0.786,0.405,0.082,0.009000000000000008,0.008999999999999952,0.013000000000000012,,,
model_05_knn_3_50,0.507,0.801,0.39,0.08,0.52,0.796,0.39,0.081,0.013000000000000012,0.0,0.0050000000000000044,,,
model_05_knn_2_60,0.508,0.8,0.391,0.08,0.522,0.793,0.391,0.081,0.014000000000000012,0.0,0.007000000000000006,,,
model_05_knn_1_80,0.509,0.799,0.393,0.081,0.526,0.79,0.393,0.081,0.017000000000000015,0.0,0.009000000000000008,,,
model_05_knn_3_55,0.51,0.798,0.393,0.08,0.524,0.792,0.393,0.081,0.014000000000000012,0.0,0.006000000000000005,,,
model_05_knn_3_60,0.513,0.796,0.395,0.081,0.526,0.791,0.395,0.082,0.013000000000000012,0.0,0.0050000000000000044,,,
model_05_knn_1_65,0.501,0.805,0.387,0.079,0.52,0.795,0.388,0.08,0.019000000000000017,0.0010000000000000009,0.010000000000000009,,,
model_05_dectree_dep_5_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_05_dectree_dep_6_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_05_dectree_dep_7_max_leaf_10,0.532,0.78,0.421,0.084,0.578,0.747,0.44,0.089,0.04599999999999993,0.019000000000000017,0.03300000000000003,,,
model_05_dectree_dep_6_max_leaf_20,0.475,0.825,0.37,0.074,0.524,0.792,0.402,0.08,0.049000000000000044,0.03200000000000003,0.03299999999999992,,,
model_05_dectree_dep_5_max_leaf_15,0.491,0.813,0.384,0.077,0.552,0.769,0.417,0.085,0.061000000000000054,0.032999999999999974,0.04399999999999993,,,
model_05_dectree_dep_6_max_leaf_15,0.491,0.813,0.384,0.077,0.552,0.769,0.417,0.085,0.061000000000000054,0.032999999999999974,0.04399999999999993,,,
model_05_forest_tree_depth4_max_leaf_10,0.49,0.814,0.378,0.077,0.53,0.787,0.397,0.082,0.040000000000000036,0.019000000000000017,0.026999999999999913,19.0,4.0,100.0
model_05_forest_tree_depth4_max_leaf_15,0.469,0.829,0.362,0.073,0.513,0.801,0.384,0.078,0.04400000000000004,0.02200000000000002,0.027999999999999914,28.0,4.0,100.0
model_05_forest_tree_depth5_max_leaf_10,0.491,0.813,0.378,0.077,0.532,0.785,0.4,0.082,0.041000000000000036,0.02200000000000002,0.027999999999999914,19.0,4.0,100.0
model_05_forest_tree_depth6_max_leaf_10,0.491,0.813,0.378,0.077,0.532,0.785,0.4,0.082,0.041000000000000036,0.02200000000000002,0.027999999999999914,19.0,4.0,100.0
model_05_forest_tree_depth4_max_leaf_20,0.468,0.83,0.361,0.073,0.513,0.801,0.383,0.078,0.044999999999999984,0.02200000000000002,0.028999999999999915,30.0,4.0,100.0
model_05_forest_tree_depth4_max_leaf_25,0.468,0.83,0.361,0.073,0.513,0.801,0.383,0.078,0.044999999999999984,0.02200000000000002,0.028999999999999915,30.0,4.0,100.0
model_05_ada_boost,0.483,0.82,0.399,0.079,0.538,0.783,0.423,0.084,0.05500000000000005,0.023999999999999966,0.03699999999999992,,,
model_05_gbr_boost,0.366,0.896,,,0.471,0.832,,,0.10499999999999998,,0.06400000000000006,,,
