model_name,train_rmse,train_r2,train_mae,train_mape,test_rmse,test_r2,test_mae,test_mape,delta_RMSE,delta_MAE,delta_R2,mean_node_num,mean_depth,num_of_trees
model_02_lin_reg_3,0.561,0.749,0.442,0.086,0.583,0.738,0.463,0.095,0.02199999999999991,0.02100000000000002,0.01100000000000001,,,
model_02_lin_reg_4,0.557,0.753,0.44,0.086,0.586,0.735,0.465,0.095,0.028999999999999915,0.025000000000000022,0.018000000000000016,,,
model_02_lin_reg_2,0.57,0.741,0.45,0.088,0.599,0.723,0.477,0.097,0.029000000000000026,0.02699999999999997,0.018000000000000016,,,
model_02_knn_1_40,0.516,0.788,0.406,0.08,0.546,0.77,0.424,0.088,0.030000000000000027,0.01799999999999996,0.018000000000000016,,,
model_02_knn_2_40,0.518,0.786,0.407,0.081,0.549,0.768,0.425,0.088,0.031000000000000028,0.018000000000000016,0.018000000000000016,,,
model_02_knn_1_30,0.508,0.794,0.397,0.079,0.54,0.775,0.418,0.087,0.03200000000000003,0.020999999999999963,0.019000000000000017,,,
model_02_knn_2_35,0.514,0.789,0.403,0.08,0.547,0.77,0.422,0.088,0.03300000000000003,0.01899999999999996,0.019000000000000017,,,
model_02_knn_3_40,0.521,0.784,0.408,0.081,0.552,0.765,0.429,0.089,0.031000000000000028,0.02100000000000002,0.019000000000000017,,,
model_02_knn_3_30,0.511,0.792,0.4,0.079,0.543,0.772,0.42,0.087,0.03200000000000003,0.019999999999999962,0.020000000000000018,,,
model_02_dectree_dep_5_max_leaf_20,0.511,0.792,0.401,0.078,0.577,0.743,0.451,0.092,0.06599999999999995,0.04999999999999999,0.049000000000000044,,,
model_02_dectree_dep_6_max_leaf_20,0.511,0.792,0.401,0.078,0.577,0.743,0.451,0.092,0.06599999999999995,0.04999999999999999,0.049000000000000044,,,
model_02_dectree_dep_4_max_leaf_20,0.527,0.779,0.413,0.081,0.588,0.733,0.462,0.094,0.06099999999999994,0.049000000000000044,0.04600000000000004,,,
model_02_dectree_dep_4_max_leaf_14,0.535,0.772,0.418,0.082,0.59,0.732,0.465,0.095,0.05499999999999994,0.04700000000000004,0.040000000000000036,,,
model_02_dectree_dep_5_max_leaf_14,0.533,0.774,0.419,0.082,0.592,0.73,0.466,0.095,0.05899999999999994,0.04700000000000004,0.04400000000000004,,,
model_02_dectree_dep_6_max_leaf_14,0.533,0.774,0.419,0.082,0.592,0.73,0.466,0.095,0.05899999999999994,0.04700000000000004,0.04400000000000004,,,
model_02_forest_tree_depth6_max_leaf_15,0.513,0.79,0.402,0.079,0.562,0.756,0.441,0.091,0.049000000000000044,0.03899999999999998,0.03400000000000003,29.0,5.0,100.0
model_02_forest_tree_depth7_max_leaf_15,0.513,0.79,0.401,0.079,0.562,0.756,0.441,0.091,0.049000000000000044,0.03999999999999998,0.03400000000000003,29.0,5.0,100.0
model_02_forest_tree_depth5_max_leaf_15,0.515,0.789,0.402,0.079,0.563,0.755,0.443,0.091,0.04799999999999993,0.04099999999999998,0.03400000000000003,29.0,5.0,100.0
model_02_forest_tree_depth5_max_leaf_20,0.504,0.798,0.393,0.078,0.557,0.761,0.436,0.09,0.05300000000000005,0.04299999999999998,0.03700000000000003,39.0,5.0,100.0
model_02_ada_boost,0.548,0.762,0.444,0.086,0.591,0.732,0.475,0.095,0.04299999999999993,0.030999999999999972,0.030000000000000027,,,
model_02_gbr_boost,0.428,0.854,,,0.538,0.777,,,0.11000000000000004,,0.07699999999999996,,,
