country_name,mys_year
Afghanistan,2.1938278663076924
Albania,9.903926735066667
Algeria,7.096498467142857
Angola,3.93000934
Argentina,10.814713870588234
Armenia,11.242873370625
Australia,12.264984308750002
Austria,11.981690696666664
Azerbaijan,10.54083664
Bahrain,8.2969178518
Bangladesh,5.862521290875
Belarus,11.558067601538463
Belgium,11.82987226375
Belize,9.123710346
Benin,2.7582551395
Bhutan,2.953807974
Bolivia,8.590413051470588
Bosnia and Herzegovina,8.829574056357142
Botswana,9.615538461538462
Brazil,7.405529813235294
Bulgaria,11.111359322142858
Burkina Faso,1.5182697036666668
Burundi,2.4001722194
Cambodia,4.192326409285715
Cameroon,5.529824465
Canada,13.654493444375
Central African Republic,3.4805976096
Chad,1.9484346141333335
Chile,10.310368299764704
Colombia,7.958418537705883
Comoros,5.059159322857143
Congo (Brazzaville),8.098135418666665
Congo (Kinshasa),6.3060667666666665
Costa Rica,8.500830518529412
Croatia,11.634135402666667
Cyprus,11.89131334785714
Czechia,12.604043314285715
Denmark,12.766311402352942
Djibouti,2.7201559103333337
Dominican Republic,8.043922814117646
Ecuador,8.352525442058823
Egypt,8.179133561555554
El Salvador,6.53470584935294
Estonia,13.455013275
Eswatini,5.0953333333333335
Ethiopia,2.3743073323333332
Finland,12.639659241333332
France,11.12939602235294
Gabon,8.9825
Gambia,4.2281227349999995
Georgia,12.60194885
Germany,14.006232656470587
Ghana,6.834883671352941
Greece,10.6056297138125
Guatemala,4.835123579266666
Guinea,2.213695347916667
Guyana,6.838821075
Haiti,4.992272917272727
Honduras,6.001771675375
Hungary,11.880170970624999
Iceland,13.443837444
India,5.626985472352941
Indonesia,7.844178213823532
Iran,10.1852012912
Iraq,6.590781522916667
Ireland,11.3848899325
Israel,12.861242248235293
Italy,10.170191204411765
Ivory Coast,4.36283515790909
Jamaica,8.849300316444443
Japan,12.562587926470588
Jordan,10.152643363333333
Kazakhstan,11.801596232941176
Kenya,6.8777722542941175
Kuwait,6.67081117625
Kyrgyzstan,11.357669227058823
Laos,5.390758146111111
Latvia,12.8469530475
Lebanon,8.365149154941177
Lesotho,6.8177611895000005
Liberia,4.6509981342
Libya,7.7964678865
Lithuania,12.835930039411764
Luxembourg,12.90708672
Madagascar,4.856276510090908
Malawi,4.920838701571428
Malaysia,9.846304671999999
Mali,1.7773353829375
Malta,11.68490451625
Mauritania,4.157097320428571
Mauritius,9.617474539
Mexico,8.504345080352941
Moldova,11.642810505882354
Mongolia,10.151623026000001
Montenegro,11.736334208461537
Morocco,5.497999999999999
Mozambique,3.0231842688
Myanmar,5.3229961438
Namibia,7.03176205175
Nepal,3.7781198086470584
Netherlands,12.18134227375
New Zealand,13.223637104375001
Nicaragua,6.507058823529412
Niger,1.443557052
Nigeria,6.418807254500001
North Macedonia,10.280998486
Norway,12.825682240833332
Pakistan,4.734874561733334
Panama,9.760399236875
Paraguay,8.031699061187501
Peru,9.134034469705885
Philippines,8.852944548933333
Poland,12.758675873125
Portugal,8.818246014799998
Qatar,9.163060188
Romania,10.98259883
Russia,
Rwanda,3.936083579
Saudi Arabia,8.593050003
Senegal,2.503534725294118
Serbia,10.848071762857144
Sierra Leone,3.401587937285714
Singapore,11.355476893076922
Slovakia,12.563267383846153
Slovenia,12.488739126666665
Somalia,
South Africa,10.087585162266667
South Korea,11.918106401176471
Spain,9.794660344764704
Sri Lanka,10.437459774
State of Palestine,8.066404247200001
Sudan,3.2592
Suriname,8.062552929
Sweden,12.39974971625
Switzerland,13.551243428333335
Syria,
Taiwan Province of China,
Tajikistan,11.221507465000002
Tanzania,
Thailand,8.019638986941176
Togo,4.553714934545455
Trinidad and Tobago,10.626643715000002
Tunisia,7.30749537376923
Turkiye,7.700473603200001
Uganda,5.6275168119375
Ukraine,11.272551192352942
United Arab Emirates,9.553365273666666
United Kingdom,13.050127609411765
United States,13.2853608425
Uruguay,8.61994227782353
Uzbekistan,11.490172395833333
Venezuela,9.120266851785713
Vietnam,8.002616822583333
Yemen,2.7275028286666667
Zambia,6.647242092733334
Zimbabwe,8.118751733117646
Kosovo,13.2
